,TotalFinishedArea,TotalAppraisedValue
478,12771.0,750000.0
479,772.0,68700.0
480,1050.0,38500.0
481,4290.0,508800.0
482,4216.0,230800.0
484,402.0,37100.0
485,2760.0,143500.0
486,546.0,41400.0
487,9861.0,367100.0
488,459.0,38500.0
489,552.0,45700.0
490,567.0,46900.0
491,2865.60001,198400.0
492,476.0,38600.0
493,6384.0,221600.0
495,2844.0,126400.0
496,2064.0,122600.0
497,477.0,38700.0
498,362.0,33700.0
499,1245.0,162600.0
500,1536.0,146200.0
501,3741.0,227500.0
502,1343.0,148600.0
503,1470.0,141800.0
504,2161.0,120300.0
505,676.0,25200.0
506,9861.0,367100.0
507,447.0,39200.0
509,3402.0,160800.0
510,519.0,43100.0
511,9348.0,189104.0
512,1050.0,38500.0
513,582.0,44000.0
514,477.0,38700.0
515,1344.0,142000.0
516,1272.0,120600.0
517,511.0,42600.0
518,454.0,35000.0
519,10464.0,337300.0
520,4050.0,32400.0
521,477.0,41700.0
522,600.0,37200.0
523,3900.0,140200.0
524,805.0,58700.0
525,2784.0,189800.0
526,457.0,35200.0
527,20496.0,645000.0
528,559.0,50800.0
529,433.0,38100.0
530,3420.80001,166900.0
531,3435.0,175500.0
532,772.0,69500.0
533,756.0,64300.0
534,2310.0,197800.0
535,452.0,39700.0
536,3272.5,161800.0
537,2700.0,155700.0
538,2520.0,143400.0
539,476.0,38600.0
540,593.0,44800.0
541,511.0,42600.0
542,2906.0,232300.0
543,578.0,18700.0
544,850.0,48000.0
545,1875.0,108900.0
546,345.0,32200.0
547,665.0,54800.0
548,477.0,41700.0
549,658.0,54100.0
550,1050.00001,117700.0
551,920.0,56300.0
552,345.0,32200.0
553,850.0,52800.0
554,907.0,27900.0
555,469.0,41100.0
556,4248.0,324700.0
557,2656.0,221700.0
558,2608.5,203000.0
559,593.0,44800.0
560,3880.25,172100.0
561,665.0,54800.0
562,639.0,52000.0
563,2774.0,197100.0
564,411.0,31600.0
565,1561.0,140200.0
566,430.0,37800.0
567,684.0,55500.0
568,695.0,40900.0
569,574.0,20400.0
570,3661.5,154000.0
571,3375.0,171500.0
572,648.0,53500.0
573,3762.0,220900.0
574,623.0,56300.0
575,2507.5,109700.0
576,2619.0,109400.0
577,7416.0,200500.0
578,4797.25,280000.0
579,3000.0,159600.0
580,620.0,22000.0
581,1789.0,129300.0
582,658.0,54100.0
583,2348.0,143400.0
584,433.0,38100.0
585,459.0,38500.0
586,3624.0,148300.0
587,20496.0,645000.0
588,1344.0,142000.0
589,2507.5,109700.0
590,2706.0,84600.0
591,4104.0,171600.0
592,1120.0,148700.0
593,3197.0,157600.0
594,469.0,41100.0
595,1521.0,129900.0
596,4162.0,90600.0
597,1875.0,108900.0
598,3104.0,321400.0
599,454.0,35000.0
600,1468.0,103400.0
601,2962.5,155000.0
602,539.0,44800.0
603,795.0,58600.0
604,3880.25,172100.0
605,582.0,48100.0
606,600.0,37200.0
607,3451.0,151400.0
608,418.0,32100.0
609,3780.0,157200.0
610,418.0,32100.0
611,695.0,40900.0
612,3666.0,151600.0
613,550.0,45600.0
614,1536.0,146200.0
615,3880.25,172100.0
616,869.0,84000.0
617,1504.0,132600.0
618,2161.0,120300.0
619,2760.0,174400.0
620,7836.0,322100.0
621,3080.0,150900.0
623,1335.0,109600.0
624,3900.0,140200.0
625,546.0,32900.0
626,4765.75,323200.0
627,496.0,40200.0
628,2205.0,149400.0
629,2870.4000100000003,153700.0
631,469.0,41100.0
632,476.0,38600.0
633,463.0,40600.0
634,3666.0,174300.0
635,665.0,54800.0
636,2656.0,221700.0
638,476.0,38600.0
639,3510.0,178600.0
640,447.0,39200.0
641,552.0,45200.0
642,665.0,54800.0
643,1513.25,138900.0
644,1115.0,48100.0
645,1115.0,48100.0
646,600.0,37200.0
647,5553.0,197000.0
649,600.0,37200.0
650,600.0,37200.0
651,600.0,37200.0
652,1115.0,48100.0
653,1608.0,125400.0
654,3645.0,150700.0
655,1115.0,48100.0
656,600.0,37200.0
657,3061.0,180600.0
658,600.0,37200.0
659,3645.0,150700.0
660,600.0,37200.0
661,600.0,37200.0
662,1115.0,48100.0
663,1115.0,48100.0
664,3645.0,150700.0
665,1115.0,48100.0
666,3269.75,90600.0
667,600.0,37200.0
668,1207.0,137400.0
669,1115.0,48100.0
670,1115.0,48100.0
671,1115.0,48100.0
672,1115.0,48100.0
673,1115.0,48100.0
674,900.0,125800.0
675,600.0,37200.0
676,1115.0,48100.0
677,600.0,37200.0
678,600.0,37200.0
679,600.0,37200.0
680,1115.0,48100.0
681,1513.25,138900.0
682,1115.0,48100.0
683,2530.0,159300.0
684,1115.0,48100.0
685,1115.0,48100.0
686,1115.0,48100.0
687,1115.0,48100.0
689,600.0,37200.0
690,600.0,37200.0
691,1115.0,48100.0
692,1115.0,48100.0
693,600.0,37200.0
694,1115.0,48100.0
695,910.0,80500.0
696,600.0,37200.0
697,1115.0,48100.0
698,1115.0,48100.0
699,600.0,37200.0
700,600.0,37200.0
701,600.0,37200.0
702,620.0,35200.0
703,631.0,35800.0
704,631.0,35800.0
705,543.0,31000.0
706,1168.6000099999999,105300.0
707,615.0,34900.0
708,617.0,35000.0
709,617.0,35000.0
710,615.0,34900.0
711,620.0,35200.0
712,2422.0,220500.0
713,620.0,35200.0
714,1187.0,101200.0
715,617.0,35000.0
716,799.0,40800.0
717,2488.00001,264500.0
718,239.0,14500.0
719,617.0,35000.0
720,620.0,35200.0
721,620.0,35200.0
722,239.0,14500.0
723,631.0,35800.0
724,620.0,35200.0
726,2725.29,151900.0
727,620.0,35200.0
728,2422.0,220500.0
729,543.0,31000.0
730,799.0,40800.0
731,620.0,35200.0
732,799.0,40800.0
733,620.0,35200.0
734,620.0,35200.0
735,543.0,31000.0
736,615.0,34900.0
737,631.0,35800.0
738,543.0,31000.0
739,617.0,35000.0
740,615.0,34900.0
741,799.0,40800.0
742,799.0,40800.0
743,543.0,31000.0
744,620.0,35200.0
745,631.0,35800.0
746,615.0,34900.0
747,620.0,35200.0
748,543.0,31000.0
749,615.0,34900.0
750,799.0,40800.0
751,239.0,14500.0
752,617.0,35000.0
753,631.0,35800.0
754,1843.2000100000002,171600.0
755,1303.0,144400.0
756,3870.0,216000.0
757,4075.5,224700.0
758,3888.0,154800.0
759,3888.0,154800.0
760,1222.0,132600.0
761,3870.0,216000.0
762,2794.0,211300.0
763,3870.0,216000.0
764,3888.0,154800.0
765,1168.0,89900.0
766,1714.0,158700.0
767,3870.0,216000.0
768,7915.0,78800.0
769,2542.5,139200.0
770,3429.0,147100.0
771,4537.5,181300.0
772,1825.60001,145000.0
773,4537.5,181300.0
774,2463.0,200900.0
777,3355.0,208300.0
778,2869.00001,175300.0
779,3196.0,164700.0
780,1192.0,126900.0
781,3090.0,168600.0
782,3090.0,168600.0
783,1650.0,218800.0
784,1192.0,126900.0
785,666.0,47200.0
786,943.0,110200.0
787,1376.0,131500.0
788,1870.0,185700.0
789,1376.0,131500.0
790,1192.0,126900.0
791,881.0,118200.0
792,1376.0,131500.0
793,3318.0,286500.0
794,1008.00001,101900.0
795,1300.0,104400.0
796,1088.0,127500.0
797,1330.0,127200.0
798,3856.0,181300.0
799,900.0,119100.0
800,1300.0,104400.0
801,3402.0,164400.0
802,5982.0,259600.0
803,884.0,36100.0
804,3604.0,239200.0
805,1200.0,94600.0
806,1330.0,127200.0
807,907.0,74000.0
808,3666.0,192600.0
809,1652.80001,132300.0
810,907.0,74000.0
811,1204.0,37700.0
812,1248.0,135800.0
813,1764.0000100000002,146900.0
814,900.0,119100.0
815,2782.0,144100.0
816,1714.0,158700.0
817,884.0,36100.0
818,1260.0,146800.0
819,1651.6000099999999,128800.0
820,5926.0,220400.0
821,3100.0,184600.0
822,695.0,40900.0
823,695.0,40900.0
824,1652.80001,132300.0
825,1218.0,144700.0
826,3402.0,164400.0
827,1204.0,37700.0
828,1566.0,132100.0
829,2390.0,138400.0
832,4038.0,203100.0
833,1280.0,132800.0
834,1552.0,141800.0
835,7215.0,259400.0
837,3666.0,97600.0
838,7215.0,259400.0
840,3786.5,417700.0
841,1552.0,141800.0
842,1698.0,135600.0
843,884.0,33500.0
844,1516.0,142700.0
845,1722.0,190300.0
846,1630.0,150100.0
847,3033.20001,183500.0
848,5952.0,178600.0
849,1457.0,176800.0
850,2508.0,126000.0
851,1872.0,162300.0
852,3666.0,97600.0
853,3510.0,196400.0
854,4042.5,209200.0
855,4042.5,209200.0
856,2576.0,153000.0
858,742.0,66400.0
