,TotalFinishedArea,TotalAppraisedValue
3527,0.013992584876936637,0.08022922636103152
1547,0.02656478763466315,0.10752526014175841
4060,0.002578539847181452,0.016689287689136884
4305,0.002746072097139569,0.012919117277434273
62,0.021203755636003407,0.07892223395164127
4171,0.0021633512277200316,0.01799628009852712
3553,0.027111088449743966,0.07721309003166943
4279,0.0012091458040455396,0.01975569295732167
2700,0.005324611944321021,0.013371537726838587
2569,0.004785595140107949,0.0345347609711959
2950,0.112057223189377,0.6402754737847484
3989,0.002542119792842731,0.011360780173930529
405,0.0031029886296590355,0.02322424973608807
2547,0.015507659137427432,0.07927411652340019
3290,0.027424300917056967,0.029809480721861962
459,0.011290216845003533,0.06067460915900065
4459,0.022281789244429553,0.08289348011863469
3202,0.0190768244626221,0.06203187050721359
336,0.0014130981083423776,0.014829336952696929
2249,0.0362142810317073,0.2424973608807118
3172,0.007620532242674106,0.054240184989694865
1076,0.00672314203092791,0.01141104911275323
237,0.006592029835308514,0.03875735183230282
2231,0.023432662961533138,0.10078922233951641
3535,0.041307625630977444,0.0933494193937566
2291,0.020708442896996804,0.16372593374553862
2251,0.02778850146044418,0.1905192781380385
3985,0.0030374325318493376,0.011159704418639723
2537,0.04753545492289875,0.1459307294023023
3340,0.045459511825591645,0.03418287839943699
2275,0.09728524914959173,0.3729955260644448
2364,0.07150363836342843,0.2633589704921329
4154,0.0021633512277200316,0.01799628009852712
3820,0.0017700146408618442,0.02186698838787513
2380,0.023235994668104044,0.06962248026944151
2878,0.007852163715428264,0.03719901472879907
396,0.002498415727636266,0.019856230834967074
2004,0.00611856912890514,0.029306791333634948
1178,0.018858304209429883,0.10646961242648167
3961,0.004945843379198322,0.02186698838787513
1093,0.023825999548391326,0.025033931533705322
3500,0.0317947074377035,0.07897250289046398
1599,0.01620692418073088,0.07469964309053435
1740,0.020303451965590334,0.10405670336299201
122,0.02657935565639864,0.07746443472578293
295,0.001558778325697262,0.013220730910370482
3761,0.0018719907930102632,0.018599507364399536
1417,0.005921900835476047,0.06087568491429146
1249,0.009818846649719201,0.07771577941989645
3531,0.008223648269683219,0.05338561302970894
3840,0.002207055292926497,0.012416427889207259
3178,0.005878196770269581,0.05846277585080179
476,0.027264052677966596,0.08606042326446489
1640,0.03370311828505248,0.11969034333685216
4071,0.0004006205977259318,0.007490071884582517
1252,0.006082149074566419,0.02840195043482632
1884,0.00611856912890514,0.02910571557834414
1444,0.014531601681149708,0.05127431759915548
4083,0.005127943650891927,0.015482833157392047
3214,0.006417213574482653,0.04876087065802041
349,0.011049844486367973,0.07062785904589554
1300,0.011006140421161508,0.07349318855878953
2882,0.005914616824608302,0.058915196300206106
1331,0.02358926919518964,0.10099029809480722
1034,0.006038445009359954,0.012617503644498065
4123,0.0032122487926751985,0.023726939124315085
2352,0.03944291884883492,0.11325591916754638
917,0.027624611215919935,0.11948926758156135
1617,0.0096167153481393,0.059066003116674204
1570,0.02622972313474692,0.11335645704519177
1238,0.008383896508773591,0.06725984014477454
20,0.01386147268131724,0.07500125672347056
1656,0.008340192443567125,0.05333534409088624
3980,0.0021560672168522877,0.008445181722213844
132,0.001391246075739145,0.014678530136228824
4142,0.0015369262930940294,0.013220730910370482
3115,0.023922512692388938,0.08113406725984014
3692,0.01289269930874737,0.06972301814708691
998,0.005178931726966137,0.010657015030412708
2192,0.024809341015536796,0.08369778313979792
1890,0.026659479775943826,0.07897250289046398
1919,0.007349566965553913,0.07741416578696024
1199,0.04078317684849986,0.08847333232795455
1519,0.014586960236584673,0.07882169607399588
1775,0.007859447726296008,0.05966923038254662
4066,0.002709652042800848,0.011913738500980244
461,0.01942645698427382,0.11245161614638315
2247,0.0028334802275524996,0.0138742271150656
3724,0.0023527355102813813,0.024782586839591815
4470,0.030669327758637017,0.07027597647413664
2182,0.007284010867744215,0.05338561302970894
2121,0.015463955072220969,0.04448801085809079
3143,0.012302694355619979,0.06157945005780928
782,0.020766714983938755,0.08043030211632232
3026,0.020038313897164334,0.07867088925752777
3339,0.040083911805196416,0.040315688935806566
4096,0.002709652042800848,0.011913738500980244
2334,0.024743784917727097,0.08394912783391142
1016,0.005878196770269581,0.012265621072739154
2863,0.010758484051658206,0.03775197305584879
1639,0.010977004377690532,0.0624340220177952
3793,0.0028626162710234763,0.014276378625647212
339,0.0015369262930940294,0.013120193032725078
3012,0.022733397991069805,0.0936007640878701
253,0.0018210027169360537,0.017141708138541194
523,0.02666676378681157,0.06615392349067512
2752,0.004151886194614202,0.07550394611169758
768,0.05591206742080459,0.03528879505353642
363,0.0031029886296590355,0.02322424973608807
2371,0.11515292780816828,0.28497461418589454
1395,0.005819924683327628,0.061478912180163874
4577,0.032588664622287614,0.0901322073091037
3421,0.025530458091443473,0.07042678329060474
2667,0.01815903909328633,0.10340320715829689
3836,0.0026513799558588944,0.014226109686824511
4455,0.01804249491940242,0.06700849545066104
3220,0.010379715486535506,0.05936761674961041
3940,0.002396439575487847,0.012516965766852661
168,0.02113819961103382,0.24003418287839945
4219,0.0027169360536685922,0.01281857939978887
4590,0.0008959333367325384,0.012617503644498065
399,0.0022507593581329623,0.01653848087266878
2039,0.021855674608666515,0.083345900568039
2891,0.014837530137594965,0.1420600211129543
1413,0.004450530640191715,0.026491730759563667
3972,0.0016024823909037273,0.0066857688634192934
3635,0.005601404357295301,0.08797064293972755
210,0.009416405049276334,0.07389534006937114
1282,0.018422720286698665,0.10159352536067964
2991,0.025377493863220843,0.08259186648569848
1132,0.004421394596720738,0.02563715879957774
3734,0.011961219926140128,0.04177348816166491
1128,0.025530458091443473,0.07042678329060474
453,0.0015660623365650061,0.013270999849193183
3427,0.013526408254241116,0.049615442618006336
2658,0.02609861093912752,0.07198512039410848
1761,0.005280907879114556,0.05504448801085809
1863,0.01624698624050347,0.07726335897049214
670,0.006380793520143932,0.019856230834967074
3643,0.25071565406775587,0.2284723269491781
2203,0.0024547116624298003,0.012416427889207259
1137,0.0258400285533226,0.20565022872367164
973,0.011800097605745628,0.06630473030714322
588,0.008048832008857356,0.06705876438948374
1400,0.0076117913567927045,0.07706228321520132
1251,0.006242397313656792,0.06499773789775298
2157,0.007517099215512029,0.05459206756145378
1376,0.007131046639521586,0.049665711556829036
1493,0.012479331619162776,0.0758055597446338
3648,0.008223648269683219,0.05338561302970894
4236,0.002789776162346034,0.013120193032725078
4302,0.004588926846678856,0.016588749811491478
3656,0.04152614595700977,0.09742120343839542
2594,0.03750537195801496,0.09365103302669281
1423,0.0060908899604478215,0.05368722666264515
4263,0.0012091458040455396,0.01975569295732167
3537,0.023629331254962232,0.06660634394007943
1908,0.005033251509611252,0.05519529482732619
2066,0.015545536066779811,0.0689689840647464
1162,0.018523239636673537,0.06811441210476046
1215,0.003671141477343084,0.011662393806866737
3455,0.010985745263571935,0.0660533856130297
3640,0.014546169702885197,0.07525260141758408
1377,0.007131046639521586,0.049665711556829036
3048,0.006650301922250468,0.05826170009551098
1456,0.008274636345757428,0.061730256874277384
4463,0.005863628748534092,0.06791333634946967
2402,0.01716112960440537,0.09837631327602674
4287,1.0,0.3704820791233097
829,0.015667907376517805,0.06524908259186649
3519,0.011552441236242324,0.10943547981702106
1497,0.01664396483279553,0.079475192278691
629,0.019167146270222236,0.0729402302317398
206,0.0020395230429683803,0.017342783893832002
1800,0.02295191831710213,0.08917709747147237
4290,0.0012091458040455396,0.01975569295732167
